"","CO2","Day"
"1",587.12,91
"2",512.12,92
"3",598.12,93
"4",540.12,94
"5",430.50,95
"6",420.50,96
"7",459.50,97
"8",500.50,98
"9",377.81,99
"10",600.40,100
"11",600.40,101
"12",600.40,102
"13",600.40,103
"14",600.40,104
"15",450.00,105
"16",450.00,106
"17",450.00,107
"18",450.00,108
"19",377.15,109
"20",375.64,110
"21",379.56,111
"22",380.49,112
"23",374.41,113
"24",373.46,114
"25",373.28,115
"26",378.14,116
"27",373.93,117
"28",376.37,118
"29",371.84,119
"30",376.39,120
"31",374.6,121
"32",372.07,122
"33",386.03,123
"34",379.18,124
"35",374.71,125
"36",500.50,128
"37",576.50,129
"38",600.50,130
"39",800.50,131
"40",550.50,132
"41",500.50,133
"42",500.50,134
"43",372.56,135
"44",391.82,136
"45",373.76,138
"46",376.22,139
"47",368.45,140
"48",366.91,141
"49",366.21,143
"50",362.38,144
"51",365.18,145
"52",367.42,146
"53",367.93,147
"54",650.41,150
"55",371.67,151
"56",500.61,152
"57",450.95,153
"58",374.46,154
"59",600.49,155
"60",367.54,156
"61",368.85,157
"62",450.64,158
"63",369.79,159
"64",372.24,160
"65",800.29,161
"66",2000.21,162
"67",369.34,163
"68",363.3,164
"69",450.49,165
"70",360.64,166
"71",368.58,167
"72",369.97,168
"73",700.85,169
"74",363.79,170
"75",361.74,171
"76",362.77,172
"77",460.7,173
"78",370.94,174
"79",365.05,175
"80",363.13,176
"81",364.46,177
"82",660.14,179
"83",367.91,180
"84",364.12,181
"85",369.22,182
"86",366.28,183
"87",560.47,184
"88",365.04,185
"89",364.03,186
"90",361.05,187
"91",369.17,188
"92",560.33,189
"93",368.98,190
"94",362.31,191
"95",375.79,192
"96",500.99,193
"97",367.59,194
"98",800.94,195
"99",368.99,196
"100",377.53,197
"101",375.39,198
